ticket_revenue_m,other_revenue_m,total_revenue_m,salary_m,operating_cost_m,ebitda_m,interest_m,net_profit_m,revenue_multiple_value_m,ebitda_multiple_value_m,dcf_value_m,valuation_m,end_debt_m,ending_cash_m,achieved_leverage,preferred_leverage,valuation_rate_discount,simulation
19.16923534608478,8.380273465872783,27.549508811957562,4.393089274705094,16.50374341161876,6.6526761256337075,1.3875,5.265176125633707,272.7401372383799,66.52676125633707,59.96450587527274,272.7401372383799,13.637006861918994,6.402182987552702,0.05,0.05,1.0,1
22.82530981398172,8.680800273509773,31.506110087491493,4.410950637855726,18.95071314365091,8.144446305984857,1.3875,6.756946305984857,311.9104898661658,81.44446305984857,76.95411070704974,311.9104898661658,15.59552449330829,9.852470799293148,0.05,0.05,1.0,2
19.870495832729947,8.754176826364493,28.62467265909444,4.400735469046776,17.177674399190504,7.04626279085716,1.3875,5.65876279085716,283.384259325035,70.46262790857159,64.44702067365095,283.384259325035,14.169212966251749,7.327975757108909,0.05,0.05,1.0,3
20.675588815655324,8.589088252717701,29.264677068373025,4.4354087467758525,17.7001097237226,7.1291585978745715,1.3875,5.741658597874571,289.720302976893,71.29158597874572,65.39111180912703,289.720302976893,14.48601514884465,7.727673746719223,0.05,0.05,1.0,4
20.923939506571575,8.47695706587416,29.400896572445735,4.423075616985346,17.733053010967197,7.244767944493191,1.3875,5.8572679444931905,291.0688760672128,72.44767944493191,66.70777381228353,291.0688760672128,14.55344380336064,7.910711747853831,0.05,0.05,1.0,5
20.03869905911776,8.559150352609786,28.597849411727545,4.429551526053194,17.27395193230325,6.894345953371097,1.3875,5.506845953371097,283.1187091761027,68.94345953371098,62.71685669117079,283.1187091761027,14.155935458805136,7.162781412176233,0.05,0.05,1.0,6
19.239127744916665,8.572645187200067,27.81177293211673,4.38525949519578,16.63116018119916,6.795353255721793,1.3875,5.407853255721792,275.33655202795563,67.95353255721793,61.5894398568315,275.33655202795563,13.766827601397782,6.674680857119575,0.05,0.05,1.0,7
21.931739587967396,8.121942821018653,30.05368240898605,4.41086387234676,18.076732086651806,7.566086449987484,1.3875,6.178586449987484,297.5314558489619,75.66086449987483,70.36723456930187,297.5314558489619,14.876572792448096,8.55515924243558,0.05,0.05,1.0,8
21.5255219763714,8.842725614443744,30.368247590815145,4.396833844466174,18.207837109694236,7.7635766366547365,1.3875,6.376076636654736,300.6456511490699,77.63576636654736,72.61642836190113,300.6456511490699,15.032282557453497,8.908359194108234,0.05,0.05,1.0,9
18.521724180433406,8.511821158348674,27.03354533878208,4.40944476421288,16.254944311664204,6.369156262904994,1.3875,4.981656262904994,267.6320988539426,63.69156262904994,56.735529660862404,267.6320988539426,13.38160494269713,5.863261205602124,0.05,0.05,1.0,10
24.48982703077829,8.933071376446483,33.42289840722477,4.406314948829792,20.082520484314625,8.934062974080355,1.3875,7.546562974080355,330.88669423152527,89.34062974080355,85.946967204804,330.88669423152527,16.544334711576266,11.590897685656621,0.05000000000000001,0.05,1.0,11
22.391780979583366,8.516475461947243,30.90825644153061,4.4809841501846375,18.88628280331921,7.54098948802676,1.3875,6.15348948802676,305.99173877115305,75.4098948802676,70.0814080580825,305.99173877115305,15.299586938557653,8.953076426584413,0.05,0.05,1.0,12
20.01463130491802,8.333086654610222,28.34771795952824,4.356792057795387,16.841606244913127,7.149319656819724,1.3875,5.761819656819724,280.6424077993296,71.49319656819725,65.62072386933572,280.6424077993296,14.03212038996648,7.293940046786204,0.05,0.05,1.0,13
